account,opportunity_id,sales_agent,deal_stage,product,created_date,close_date,close_value
Lexiqvolax,YO32O3T9,Zane Levy,Lost,GTXPro,2017-02-17,2017-05-28,0.0
Zathunicon,8638OV6W,Corliss Cosme,Lost,MG Special,2017-02-18,2017-05-26,0.0
Hottechi,TTJXSO57,Darcel Schlecht,Lost,GTXPro,2017-02-18,2017-05-20,0.0
Betasoloin,K4VP5HK4,Donn Cantrell,Won,MG Advanced,2017-02-18,2017-05-08,3602.0
Betatech,10R46CSK,Lajuana Vencill,Won,MG Advanced,2017-02-18,2017-05-07,2904.0
Sonron,VBA34LWX,Markita Hansen,Won,GTX Basic,2017-02-18,2017-05-31,571.0
Genco Pura Olive Oil Company,DLJN7WG0,Marty Freudenburg,Lost,MG Special,2017-02-18,2017-05-30,0.0
Zathunicon,FJCCTOPN,Reed Clapper,Won,GTX Basic,2017-02-18,2017-06-18,492.0
Zathunicon,LR6USOHL,Reed Clapper,Won,GTXPro,2017-02-18,2017-05-27,4545.0
Cancity,5VAV2TUY,Versie Hillebrand,Won,GTX Plus Pro,2017-02-18,2017-03-25,5614.0
Betatech,HTD2ME9C,Anna Snelling,Won,GTX Plus Pro,2017-02-19,2017-06-12,5370.0
Zencorporation,GHUCMUPL,Boris Faz,Won,GTX Basic,2017-02-19,2017-05-02,550.0
Yearin,1LKY3B4X,Cassey Cress,Won,GTX Plus Basic,2017-02-19,2017-03-02,1011.0
Sumace,7Y5E0RDL,Corliss Cosme,Won,MG Special,2017-02-19,2017-06-18,56.0
Codehow,BEQIZZ7W,Darcel Schlecht,Won,GTX Plus Basic,2017-02-19,2017-03-04,1217.0
Bubba Gump,44F8ZE41,Donn Cantrell,Lost,GTX Basic,2017-02-19,2017-05-19,0.0
Kan-code,YJIH415V,Donn Cantrell,Won,MG Advanced,2017-02-19,2017-05-10,3222.0
Bioplex,K3DQJ796,Garret Kinder,Lost,GTX Basic,2017-02-19,2017-05-14,0.0
Massive Dynamic,6QF3D2RI,Garret Kinder,Lost,GTX Basic,2017-02-19,2017-05-05,0.0
Opentech,G9565UWZ,Garret Kinder,Won,MG Advanced,2017-02-19,2017-03-01,3348.0
Conecom,RFKIN7FG,Jonathan Berthelot,Lost,GTX Basic,2017-02-19,2017-05-25,0.0
Newex,2BWZLXZ8,Kami Bicknell,Won,GTXPro,2017-02-19,2017-03-05,4216.0
Stanredtax,2QHRL8CW,Moses Frase,Won,GTX Basic,2017-02-19,2017-05-28,404.0
Initech,RFYAI0WA,Rosie Papadopoulos,Lost,GTX Plus Pro,2017-02-19,2017-06-08,0.0
Zathunicon,WH0DJCGL,Rosie Papadopoulos,Lost,MG Special,2017-02-19,2017-06-14,0.0
Sumace,LCW83256,Rosie Papadopoulos,Won,GTXPro,2017-02-19,2017-03-04,5260.0
Kan-code,IHFM8QXN,Vicki Laflamme,Lost,GTX Plus Basic,2017-02-19,2017-03-07,0.0
Donquadtech,QCY951QA,Violet Mclelland,Won,MG Special,2017-02-19,2017-05-06,51.0
Scotfind,09BVA55J,Zane Levy,Won,GTX Basic,2017-02-19,2017-06-25,598.0
Konex,2R9HXKXT,Boris Faz,Lost,GTX Plus Basic,2017-02-20,2017-05-25,0.0
Zathunicon,JLK8KCNN,Boris Faz,Won,MG Special,2017-02-20,2017-05-24,42.0
Vehement Capital Partners,SZQUBIMH,Cassey Cress,Won,GTXPro,2017-02-20,2017-06-07,4689.0
Statholdings,8ZYVKQ27,Cecily Lampkin,Won,GTX Plus Pro,2017-02-20,2017-06-26,5154.0
Gogozoom,25A51PWG,Darcel Schlecht,Lost,GTXPro,2017-02-20,2017-05-16,0.0
Zencorporation,4B4XCPHT,Donn Cantrell,Won,GTXPro,2017-02-20,2017-05-05,5010.0
Finhigh,5JFOA4XC,Gladys Colclough,Won,MG Advanced,2017-02-20,2017-06-14,3215.0
Nam-zim,N5FOEJZ9,Kami Bicknell,Lost,GTX Basic,2017-02-20,2017-06-03,0.0
Hatfan,QTNPGKJ7,Kary Hendrixson,Won,GTXPro,2017-02-20,2017-06-26,3169.0
Scotfind,EBRWSMI0,Markita Hansen,Lost,GTX Plus Basic,2017-02-20,2017-06-27,0.0
Funholding,4PKHDQOQ,Marty Freudenburg,Won,GTX Plus Pro,2017-02-20,2017-06-03,5015.0
Dalttechnology,3Y9SB2QK,Maureen Marcano,Won,GTX Basic,2017-02-20,2017-03-01,571.0
Bubba Gump,5MZ0O77T,Reed Clapper,Won,GTXPro,2017-02-20,2017-05-16,4839.0
Massive Dynamic,2EILEDKF,Reed Clapper,Won,MG Advanced,2017-02-20,2017-03-05,3315.0
Warephase,J4NX9TK5,Versie Hillebrand,Won,MG Special,2017-02-20,2017-05-24,60.0
Treequote,5ITSLO0E,Anna Snelling,Won,GTX Plus Basic,2017-02-21,2017-03-04,999.0
Statholdings,QGW0TI1U,Darcel Schlecht,Lost,GTX Basic,2017-02-21,2017-06-11,0.0
Finhigh,WJC5J533,Lajuana Vencill,Won,GTX Plus Pro,2017-02-21,2017-06-04,5401.0
Rundofase,XGLMCTLG,Moses Frase,Won,GTX Basic,2017-02-21,2017-06-18,551.0
Mathtouch,X6RLT30X,Reed Clapper,Lost,GTX Plus Pro,2017-02-21,2017-05-23,0.0
Faxquote,IVT0S1N1,Vicki Laflamme,Won,GTX Basic,2017-02-21,2017-03-20,600.0
Bioplex,JEPGSQC9,Violet Mclelland,Lost,GTX Plus Pro,2017-02-21,2017-05-05,0.0
The New York Inquirer,EEDHCEVZ,Boris Faz,Lost,MG Special,2017-02-22,2017-05-22,0.0
Sumace,NHDTSMX2,Cassey Cress,Won,GTXPro,2017-02-22,2017-03-02,4711.0
Vehement Capital Partners,E36CR33F,Corliss Cosme,Lost,MG Advanced,2017-02-22,2017-06-08,0.0
Zencorporation,PNL17RE9,Corliss Cosme,Won,GTXPro,2017-02-22,2017-06-28,5133.0
Sumace,VMEVOJVL,Daniell Hammack,Lost,GTX Plus Pro,2017-02-22,2017-05-17,0.0
Zathunicon,5EKN0BFN,Daniell Hammack,Won,GTX Plus Pro,2017-02-22,2017-05-15,4848.0
Mathtouch,R4LH95QS,Daniell Hammack,Won,GTXPro,2017-02-22,2017-03-03,4475.0
Betatech,52CROFH2,Darcel Schlecht,Lost,GTX Basic,2017-02-22,2017-03-05,0.0
Genco Pura Olive Oil Company,REDGEUCP,Darcel Schlecht,Won,GTXPro,2017-02-22,2017-03-10,3763.0
Ron-tech,6KT5HAR6,Darcel Schlecht,Won,GTXPro,2017-02-22,2017-03-05,5006.0
Toughzap,48AJ0X9E,Gladys Colclough,Won,GTXPro,2017-02-22,2017-06-15,4498.0
Warephase,RA1UBXY9,Gladys Colclough,Won,GTXPro,2017-02-22,2017-03-24,4375.0
J-Texon,WGI2GSKJ,Hayden Neloms,Lost,GTX Plus Basic,2017-02-22,2017-05-27,0.0
Fasehatice,W4BNO6UL,Hayden Neloms,Won,MG Advanced,2017-02-22,2017-06-04,3763.0
J-Texon,S50A0C2S,Kami Bicknell,Lost,GTXPro,2017-02-22,2017-03-14,0.0
Sonron,3H80RIHV,Kami Bicknell,Won,GTX Plus Pro,2017-02-22,2017-05-10,5491.0
Bioholding,KATNS4R4,Lajuana Vencill,Lost,GTX Basic,2017-02-22,2017-05-22,0.0
Y-corporation,L5U7OT6O,Markita Hansen,Won,GTX Plus Pro,2017-02-22,2017-06-17,5503.0
Rangreen,QKVUGRN9,Moses Frase,Lost,GTX Plus Basic,2017-02-22,2017-05-30,0.0
Statholdings,FNY6F0KF,Moses Frase,Won,MG Special,2017-02-22,2017-05-15,58.0
Genco Pura Olive Oil Company,1W23LEWK,Niesha Huffines,Won,GTX Plus Basic,2017-02-22,2017-05-27,1051.0
Conecom,JHJEQ1U3,Niesha Huffines,Won,GTX Plus Pro,2017-02-22,2017-03-07,5604.0
Xx-zobam,CPJAA632,Reed Clapper,Won,MG Advanced,2017-02-22,2017-05-15,3273.0
Scotfind,GVC0RLQE,Vicki Laflamme,Lost,GTX Plus Basic,2017-02-22,2017-05-11,0.0
Scotfind,9OLYBVNE,Zane Levy,Won,GTX Plus Basic,2017-02-22,2017-06-02,1220.0
Singletechno,R8N49PHN,Zane Levy,Won,GTX Plus Pro,2017-02-22,2017-03-02,5497.0
Conecom,P5EVJUKQ,Anna Snelling,Won,GTX Plus Basic,2017-02-23,2017-06-10,1056.0
Kan-code,XF4648CO,Boris Faz,Lost,GTX Basic,2017-02-23,2017-06-16,0.0
Massive Dynamic,24UTFDPK,Cassey Cress,Won,GTX Basic,2017-02-23,2017-03-12,572.0
Funholding,ERYLM04D,Cecily Lampkin,Won,MG Advanced,2017-02-23,2017-05-23,3668.0
Kinnamplus,IQ9W1X36,Corliss Cosme,Won,MG Special,2017-02-23,2017-03-02,50.0
Silis,GSR9PIF0,Daniell Hammack,Won,MG Advanced,2017-02-23,2017-05-22,3509.0
Gogozoom,8477482V,Darcel Schlecht,Won,GTXPro,2017-02-23,2017-06-28,5643.0
Dalttechnology,VFZOL6CB,Elease Gluck,Won,MG Special,2017-02-23,2017-03-10,47.0
Finjob,75ZOJ3O7,Hayden Neloms,Won,MG Advanced,2017-02-23,2017-03-08,3312.0
Goodsilron,1QQR82TP,James Ascencio,Lost,GTX Plus Pro,2017-02-23,2017-06-23,0.0
Labdrill,DR6MQSWL,Kami Bicknell,Won,GTX Basic,2017-02-23,2017-03-11,480.0
Nam-zim,KAV5TU8X,Kami Bicknell,Won,MG Advanced,2017-02-23,2017-05-06,3208.0
Y-corporation,UQ86UOWY,Kary Hendrixson,Lost,GTX Basic,2017-02-23,2017-05-04,0.0
Kan-code,A82DG6R5,Kary Hendrixson,Won,GTX Plus Pro,2017-02-23,2017-05-04,5782.0
Rangreen,37FKT2ZP,Lajuana Vencill,Won,GTX Plus Pro,2017-02-23,2017-05-23,5827.0
Newex,MVXB9PS5,Maureen Marcano,Lost,GTX Basic,2017-02-23,2017-06-17,0.0
Bioholding,M2TZSYTN,Moses Frase,Won,GTX Basic,2017-02-23,2017-06-16,516.0
Condax,KGJL5GHX,Moses Frase,Won,GTX Plus Basic,2017-02-23,2017-06-06,956.0
Stanredtax,IF7DSONM,Moses Frase,Won,MG Special,2017-02-23,2017-03-15,52.0
Toughzap,RR4FWSVB,Moses Frase,Won,MG Advanced,2017-02-23,2017-05-11,3025.0
The New York Inquirer,C5IWM5VJ,Reed Clapper,Won,GTXPro,2017-02-23,2017-06-10,5618.0
Umbrella Corporation,9WZ3I1TF,Rosie Papadopoulos,Won,GTXPro,2017-02-23,2017-05-09,4867.0
Kan-code,IO4GTLAB,Zane Levy,Won,GTX Plus Basic,2017-02-23,2017-03-14,929.0
dambase,06T2UPDG,Cecily Lampkin,Lost,MG Special,2017-02-24,2017-06-05,0.0
Xx-zobam,9L6ADU5C,Corliss Cosme,Lost,MG Advanced,2017-02-24,2017-05-11,0.0
Toughzap,U185INDA,Darcel Schlecht,Won,GTXPro,2017-02-24,2017-05-05,5010.0
Bluth Company,2AGLONC4,Donn Cantrell,Won,GTXPro,2017-02-24,2017-05-15,5621.0
Iselectrics,TBDUMBLA,Donn Cantrell,Won,MG Advanced,2017-02-24,2017-05-02,3233.0
Acme Corporation,0AXGVKN8,Garret Kinder,Won,MG Special,2017-02-24,2017-05-28,55.0
Bioplex,TAPNNL1W,Garret Kinder,Won,MG Advanced,2017-02-24,2017-03-07,3278.0
Domzoom,R9ZAKBFE,Gladys Colclough,Won,GTX Plus Basic,2017-02-24,2017-03-10,1155.0
Goodsilron,Y40ADYX7,Hayden Neloms,Won,MG Advanced,2017-02-24,2017-03-11,3550.0
Stanredtax,R7GVZT8J,Jonathan Berthelot,Lost,MG Advanced,2017-02-24,2017-05-10,0.0
Hottechi,RSEDY99J,Jonathan Berthelot,Won,GTX Plus Basic,2017-02-24,2017-06-16,1055.0
Sonron,D5NZQIWU,Markita Hansen,Lost,GTX Plus Basic,2017-02-24,2017-06-20,0.0
Y-corporation,Z0BGG6IJ,Markita Hansen,Won,GTX Basic,2017-02-24,2017-05-05,595.0
Warephase,ZCA1IRGD,Moses Frase,Won,MG Advanced,2017-02-24,2017-05-06,3063.0
Konex,NPB8ZLEO,Vicki Laflamme,Lost,MG Advanced,2017-02-24,2017-05-13,0.0
Massive Dynamic,HJIO57TA,Violet Mclelland,Won,MG Advanced,2017-02-24,2017-06-06,3246.0
Scottech,U6N053E1,Anna Snelling,Won,GTX Basic,2017-02-25,2017-03-02,423.0
Initech,MTKCJVFO,Cassey Cress,Won,GTX Basic,2017-02-25,2017-06-18,542.0
Ontomedia,KIP060D0,Cassey Cress,Won,GTXPro,2017-02-25,2017-03-08,5040.0
Kan-code,YOISPUC6,Corliss Cosme,Lost,GTX Plus Basic,2017-02-25,2017-05-21,0.0
Rangreen,2MHTTXX0,Darcel Schlecht,Lost,GTX Plus Pro,2017-02-25,2017-06-17,0.0
Statholdings,QU4FNKZL,Darcel Schlecht,Won,GTXPro,2017-02-25,2017-05-09,5423.0
Cancity,GZUKDP7F,Darcel Schlecht,Won,MG Advanced,2017-02-25,2017-06-13,3295.0
Plussunin,S519S1EK,Donn Cantrell,Won,GTX Basic,2017-02-25,2017-06-02,568.0
Xx-zobam,AL554AUI,Donn Cantrell,Won,GTX Basic,2017-02-25,2017-05-26,640.0
Plusstrip,MCWDHOBT,Elease Gluck,Won,GTXPro,2017-02-25,2017-05-19,4612.0
Domzoom,GDZV8N5W,Gladys Colclough,Lost,GTXPro,2017-02-25,2017-05-26,0.0
Goodsilron,F4FLJ0WW,James Ascencio,Lost,GTX Plus Basic,2017-02-25,2017-05-26,0.0
Dontechi,P3VM7655,Jonathan Berthelot,Won,MG Advanced,2017-02-25,2017-05-06,3281.0
Finjob,5QU60VGE,Kami Bicknell,Lost,GTX Basic,2017-02-25,2017-03-12,0.0
Labdrill,3CLBPMYZ,Kami Bicknell,Lost,GTX Plus Basic,2017-02-25,2017-03-08,0.0
Rantouch,G17JEA75,Kami Bicknell,Won,MG Special,2017-02-25,2017-03-11,59.0
Scottech,BGU0JJ9X,Marty Freudenburg,Won,GTX Plus Basic,2017-02-25,2017-06-30,1081.0
Zumgoity,U02OIJGK,Marty Freudenburg,Won,GTX Plus Basic,2017-02-25,2017-05-09,962.0
Codehow,3N7ZXGMF,Niesha Huffines,Won,GTX Plus Basic,2017-02-25,2017-03-06,1123.0
Xx-zobam,0QHI3KG5,Reed Clapper,Won,MG Advanced,2017-02-25,2017-06-10,3075.0
Condax,0WWDVOM3,Rosalina Dieter,Won,MG Special,2017-02-25,2017-05-09,50.0
Dalttechnology,QPPUCKFM,Rosalina Dieter,Won,MG Special,2017-02-25,2017-03-06,47.0
Globex Corporation,VGE4M1C9,Versie Hillebrand,Lost,MG Special,2017-02-25,2017-03-08,0.0
Betatech,56XQOTXV,Versie Hillebrand,Won,GTX Plus Pro,2017-02-25,2017-05-17,4494.0
Hottechi,1JC9DMNJ,Vicki Laflamme,Lost,MG Special,2017-02-25,2017-05-06,0.0
Singletechno,AK2LRFXF,Vicki Laflamme,Won,MG Special,2017-02-25,2017-03-11,61.0
Goodsilron,UCK7JRXG,Vicki Laflamme,Won,MG Advanced,2017-02-25,2017-05-13,3418.0
Konex,WM30CUBE,Wilburn Farren,Won,MG Advanced,2017-02-25,2017-06-02,3336.0
Betatech,8DWOWB6Y,Anna Snelling,Lost,GTX Basic,2017-02-26,2017-03-16,0.0
Mathtouch,BGNB966A,Boris Faz,Won,GTX Plus Pro,2017-02-26,2017-03-13,4766.0
Plussunin,4Q4CLZCH,Corliss Cosme,Lost,MG Advanced,2017-02-26,2017-06-10,0.0
Ganjaflex,YQ24IWRQ,Daniell Hammack,Won,GTX Basic,2017-02-26,2017-05-27,592.0
Iselectrics,Z30RS0CL,Donn Cantrell,Lost,GTX Basic,2017-02-26,2017-06-01,0.0
Green-Plus,FRB34F3W,Elease Gluck,Lost,MG Special,2017-02-26,2017-05-24,0.0
Treequote,CGEHFK9N,Gladys Colclough,Lost,GTXPro,2017-02-26,2017-05-29,0.0
Dontechi,4A189ZAB,Gladys Colclough,Won,GTXPro,2017-02-26,2017-06-08,5142.0
Cheers,0HELH2Q0,James Ascencio,Lost,GTX Plus Basic,2017-02-26,2017-05-29,0.0
Gogozoom,HG5P21RO,Lajuana Vencill,Lost,MG Advanced,2017-02-26,2017-05-08,0.0
Plexzap,MGP9HCUL,Markita Hansen,Lost,GTX Plus Basic,2017-02-26,2017-06-16,0.0
Faxquote,XX84TIMO,Maureen Marcano,Lost,GTX Plus Basic,2017-02-26,2017-06-26,0.0
Nam-zim,2JFS8EGS,Maureen Marcano,Lost,MG Special,2017-02-26,2017-05-03,0.0
Dontechi,GBMHNLRO,Moses Frase,Won,GTX Basic,2017-02-26,2017-03-15,660.0
Rundofase,NAVG0P26,Moses Frase,Won,GTX Basic,2017-02-26,2017-05-26,443.0
Codehow,DK955UBP,Niesha Huffines,Lost,MG Special,2017-02-26,2017-05-20,0.0
Zotware,0OOZE4GN,Rosie Papadopoulos,Lost,GTX Plus Pro,2017-02-26,2017-03-03,0.0
The New York Inquirer,3P0T15VX,Rosie Papadopoulos,Lost,MG Special,2017-02-26,2017-05-18,0.0
Domzoom,GK0A4IQW,Versie Hillebrand,Won,MG Special,2017-02-26,2017-06-18,61.0
Y-corporation,UXJSIAVS,Zane Levy,Won,GTX Plus Pro,2017-02-26,2017-03-14,4846.0
dambase,KR4K652E,Anna Snelling,Won,GTX Basic,2017-02-27,2017-06-04,574.0
Ganjaflex,J2SR2H1Y,Cassey Cress,Lost,GTX Basic,2017-02-27,2017-06-18,0.0
Sumace,4U5VTUJL,Cassey Cress,Lost,GTXPro,2017-02-27,2017-05-22,0.0
Conecom,VTT447YT,Cecily Lampkin,Won,GTX Basic,2017-02-27,2017-05-03,497.0
Xx-zobam,8JJY9B08,Corliss Cosme,Lost,GTX Basic,2017-02-27,2017-05-04,0.0
Konex,STTAXKIU,Corliss Cosme,Won,GTX Plus Pro,2017-02-27,2017-05-30,5159.0
Codehow,PX4OW5SC,Darcel Schlecht,Lost,MG Special,2017-02-27,2017-05-02,0.0
Conecom,87MEZS8G,Darcel Schlecht,Won,GTXPro,2017-02-27,2017-05-13,4311.0
Ganjaflex,SLIWHUIM,Donn Cantrell,Won,GTX Basic,2017-02-27,2017-05-22,609.0
Cancity,XBVFZ1IR,Gladys Colclough,Won,GTX Plus Basic,2017-02-27,2017-06-24,1008.0
Zumgoity,7B3J333S,Gladys Colclough,Won,GTXPro,2017-02-27,2017-06-22,4458.0
Plexzap,3N9I1WH7,Hayden Neloms,Won,MG Advanced,2017-02-27,2017-05-26,2964.0
Lexiqvolax,TMW4J6NA,James Ascencio,Lost,GTX Plus Pro,2017-02-27,2017-06-04,0.0
Dalttechnology,ZI1MPYF3,James Ascencio,Won,MG Advanced,2017-02-27,2017-06-05,3813.0
Rundofase,L6KOBEBZ,Jonathan Berthelot,Won,GTX Basic,2017-02-27,2017-05-27,528.0
Rantouch,Z2S4KUPO,Kary Hendrixson,Won,GTX Plus Basic,2017-02-27,2017-03-10,1173.0
Kan-code,GIW1PN4L,Kary Hendrixson,Won,GTXPro,2017-02-27,2017-06-19,3893.0
Sonron,E57F5Z2K,Kary Hendrixson,Won,GTXPro,2017-02-27,2017-03-15,4678.0
Bioholding,38KKSE72,Lajuana Vencill,Won,GTX Basic,2017-02-27,2017-06-01,530.0
Sunnamplex,0GJ586J0,Markita Hansen,Lost,MG Special,2017-02-27,2017-03-14,0.0
Goodsilron,4V0S4BA3,Markita Hansen,Won,GTK 500,2017-02-27,2017-06-27,29617.0
Isdom,1LTD5TKV,Marty Freudenburg,Won,GTX Plus Basic,2017-02-27,2017-05-09,1028.0
Domzoom,VBM56CIF,Marty Freudenburg,Won,MG Advanced,2017-02-27,2017-06-28,2863.0
Codehow,PDH2NPE1,Moses Frase,Won,MG Advanced,2017-02-27,2017-06-28,4109.0
Betatech,OV60VIBB,Niesha Huffines,Lost,GTX Basic,2017-02-27,2017-05-08,0.0
Kan-code,2OAIXF3A,Reed Clapper,Won,GTX Plus Basic,2017-02-27,2017-03-13,1106.0
Bubba Gump,FBSEA94D,Rosie Papadopoulos,Won,MG Special,2017-02-27,2017-06-30,53.0
Globex Corporation,EOB01PRO,Versie Hillebrand,Won,MG Special,2017-02-27,2017-05-14,47.0
Kan-code,5QC9H4C2,Violet Mclelland,Won,MG Advanced,2017-02-27,2017-05-23,3749.0
Ontomedia,3HGQ3BOY,Violet Mclelland,Won,MG Advanced,2017-02-27,2017-05-27,4204.0
Umbrella Corporation,CO6ZPH1W,Cassey Cress,Won,MG Advanced,2017-02-28,2017-06-15,3986.0
Donquadtech,M3WTE943,Daniell Hammack,Won,GTXPro,2017-02-28,2017-06-05,5105.0
Genco Pura Olive Oil Company,X914SMX7,Darcel Schlecht,Won,GTX Basic,2017-02-28,2017-06-22,516.0
Rundofase,1MCE2AOV,Darcel Schlecht,Won,GTXPro,2017-02-28,2017-06-02,4407.0
Zathunicon,8061HKKB,Donn Cantrell,Won,MG Advanced,2017-02-28,2017-06-19,3087.0
Inity,T1HIH384,Gladys Colclough,Won,GTX Plus Pro,2017-02-28,2017-05-15,5331.0
Condax,FM2NX2GB,Hayden Neloms,Won,MG Advanced,2017-02-28,2017-05-05,4069.0
Hatfan,SJ45HNHM,James Ascencio,Won,GTX Basic,2017-02-28,2017-06-29,463.0
Faxquote,NYGZJYCJ,James Ascencio,Won,GTX Plus Pro,2017-02-28,2017-05-26,5625.0
Rundofase,6MMFIIGE,Lajuana Vencill,Won,GTX Basic,2017-02-28,2017-06-15,524.0
Cheers,IJ817GQJ,Markita Hansen,Lost,GTX Basic,2017-02-28,2017-05-12,0.0
Genco Pura Olive Oil Company,PCRRS6JP,Moses Frase,Lost,MG Special,2017-02-28,2017-05-28,0.0
Zencorporation,NKL5SWX3,Reed Clapper,Won,GTX Plus Basic,2017-02-28,2017-06-01,1161.0
Mathtouch,WVG1CIHX,Reed Clapper,Won,GTX Plus Pro,2017-02-28,2017-06-03,6046.0
Dontechi,7GRNFO6D,Versie Hillebrand,Won,MG Special,2017-02-28,2017-05-18,49.0
Conecom,G0QKNVIJ,Anna Snelling,Won,MG Special,2017-03-01,2017-05-28,51.0
Hottechi,6HRIX06M,Anna Snelling,Won,MG Advanced,2017-03-01,2017-06-26,3415.0
Kan-code,AM5YTMH3,Boris Faz,Won,GTX Plus Basic,2017-03-01,2017-03-10,1053.0
Betasoloin,2L5ZWLI7,Cassey Cress,Lost,GTX Plus Basic,2017-03-01,2017-05-25,0.0
Donquadtech,6B6Q8C5S,Cassey Cress,Won,GTXPro,2017-03-01,2017-03-15,5068.0
Massive Dynamic,DF4KYH5H,Cassey Cress,Won,GTXPro,2017-03-01,2017-06-30,4256.0
Treequote,JTDV6H65,Darcel Schlecht,Lost,MG Advanced,2017-03-01,2017-05-08,0.0
Genco Pura Olive Oil Company,O8JF46GT,Darcel Schlecht,Won,GTX Basic,2017-03-01,2017-03-12,657.0
Stanredtax,RK5Y67V6,Darcel Schlecht,Won,MG Special,2017-03-01,2017-03-08,60.0
Opentech,COWOZH43,Donn Cantrell,Lost,GTX Basic,2017-03-01,2017-05-29,0.0
Hottechi,DGIYD342,Elease Gluck,Lost,GTX Plus Pro,2017-03-01,2017-05-10,0.0
Silis,JSSGVBVS,Garret Kinder,Lost,GTX Basic,2017-03-01,2017-05-05,0.0
Plussunin,V28NVD6A,Garret Kinder,Won,GTX Basic,2017-03-01,2017-05-01,629.0
Hottechi,I1IAVDQM,Gladys Colclough,Lost,MG Advanced,2017-03-01,2017-05-23,0.0
Treequote,4MC584U5,Gladys Colclough,Won,MG Advanced,2017-03-01,2017-06-02,4082.0
Rundofase,MCYLHUCZ,Lajuana Vencill,Won,GTX Plus Basic,2017-03-01,2017-05-31,1044.0
Inity,5E4DTWHV,Marty Freudenburg,Lost,MG Advanced,2017-03-01,2017-06-11,0.0
Rantouch,1VUBYV53,Maureen Marcano,Won,GTX Plus Basic,2017-03-01,2017-03-21,1025.0
Streethex,W03CXYET,Moses Frase,Won,GTX Basic,2017-03-01,2017-06-17,465.0
Konmatfix,LZVFFQLN,Moses Frase,Won,MG Special,2017-03-01,2017-06-14,50.0
Vehement Capital Partners,MFV0C5RN,Reed Clapper,Won,GTX Plus Pro,2017-03-01,2017-03-09,5548.0
Kan-code,A1WZEK7U,Reed Clapper,Won,MG Advanced,2017-03-01,2017-06-03,3558.0
Singletechno,516FJUNB,Rosalina Dieter,Won,MG Advanced,2017-03-01,2017-03-07,3959.0
Ron-tech,PE8DK02A,Versie Hillebrand,Won,MG Special,2017-03-01,2017-03-17,49.0
Warephase,10NTPQUY,Versie Hillebrand,Won,MG Special,2017-03-01,2017-06-16,50.0
Xx-holding,X2EXSMPR,Vicki Laflamme,Won,GTX Basic,2017-03-01,2017-03-08,523.0
Zoomit,JCFQVIEG,Vicki Laflamme,Won,GTX Plus Basic,2017-03-01,2017-06-01,1086.0
Goodsilron,XIWKGJOW,Vicki Laflamme,Won,GTXPro,2017-03-01,2017-03-09,4445.0
Umbrella Corporation,DHGLWIDZ,Violet Mclelland,Won,GTXPro,2017-03-01,2017-06-24,4756.0
Gekko & Co,74VGCEEW,Violet Mclelland,Won,MG Special,2017-03-01,2017-06-19,67.0
Iselectrics,MXTAIS4Q,Wilburn Farren,Won,MG Advanced,2017-03-01,2017-06-09,3783.0
Doncon,YP8QKKEZ,Zane Levy,Lost,GTX Basic,2017-03-01,2017-05-31,0.0
Rantouch,3TSOEM5K,Zane Levy,Lost,GTX Plus Pro,2017-03-01,2017-06-27,0.0
Dontechi,G7RCJBVL,Anna Snelling,Lost,MG Advanced,2017-03-02,2017-05-31,0.0
Conecom,G20IQSA3,Anna Snelling,Won,GTX Basic,2017-03-02,2017-03-12,522.0
Kinnamplus,Q16BQCEL,Boris Faz,Won,GTX Plus Basic,2017-03-02,2017-03-18,1001.0
Betatech,9924I5ZF,Cecily Lampkin,Won,GTX Plus Pro,2017-03-02,2017-05-25,5728.0
Codehow,SLLJT3T1,Darcel Schlecht,Won,GTX Plus Pro,2017-03-02,2017-06-19,4856.0
Cancity,AAEUN73V,Darcel Schlecht,Won,GTXPro,2017-03-02,2017-05-26,5570.0
Conecom,32LY2D1K,Darcel Schlecht,Won,MG Advanced,2017-03-02,2017-05-26,3647.0
Mathtouch,S2UWELRW,Donn Cantrell,Won,GTX Basic,2017-03-02,2017-06-11,487.0
Donquadtech,5VQRLIEZ,Donn Cantrell,Won,GTX Plus Basic,2017-03-02,2017-06-12,1166.0
Scottech,6U0CT07B,Jonathan Berthelot,Won,GTX Basic,2017-03-02,2017-06-06,595.0
Condax,DFN1V29L,Kami Bicknell,Won,MG Special,2017-03-02,2017-06-04,49.0
Xx-holding,VBZ862OS,Kary Hendrixson,Won,GTX Basic,2017-03-02,2017-03-19,599.0
Kan-code,VFKKSJT2,Kary Hendrixson,Won,GTXPro,2017-03-02,2017-05-15,4506.0
Sunnamplex,FJMFXCTD,Kary Hendrixson,Won,GTXPro,2017-03-02,2017-05-06,4512.0
Gogozoom,LGLIB8TR,Lajuana Vencill,Lost,GTX Basic,2017-03-02,2017-05-01,0.0
Nam-zim,JREGYB42,Maureen Marcano,Won,GTX Plus Basic,2017-03-02,2017-05-06,1102.0
Rantouch,9PWM6RYC,Rosalina Dieter,Lost,GTX Basic,2017-03-02,2017-06-10,0.0
Condax,EMUA57Q2,Versie Hillebrand,Won,MG Special,2017-03-02,2017-05-12,54.0
Hottechi,DB3N4CHN,Versie Hillebrand,Won,MG Special,2017-03-02,2017-03-17,62.0
The New York Inquirer,OF7GY5F4,Violet Mclelland,Won,MG Special,2017-03-02,2017-03-09,61.0
